"","hibpe","diabe","cancre","lunge","hearte","stroke","psyche","arthre","dyslipe","livere","kidneye","digeste","asthmae","dressa","batha","eata","beda","toilta","urina","moneya","medsa","shopa","mealsa","housewka","walk100a","walk1kma","joga","climsa","chaira","stoopa","armsa","lifta","dimea","dsight","nsight","hearing","shlt","painfr","fall","hlthlm_c","slfmem","mbmi","hearaid"
"kidneye",0.0440286637649269,0.0508247617939043,0.00651455143941401,0.0746866700969454,0.104919443703683,0.0221790914829877,0.0284435033536251,0.121818113395576,0.0538804562618486,0.125356780800782,1,0.0959917428600551,0.0447408901152482,0.0413214964919217,0.0399014902445398,0.0245942647226729,0.0529617226596064,0.0835625760720462,0.0641302863160869,0.026216590291737,0.0406303038796088,0.0281561552953661,0.038780431559243,0.042123151343342,0.0292324336895009,0.0448810522819662,0.0709877237985932,0.0882128852421267,0.0800968603154566,0.0928299428709975,0.0519238884333254,0.0316803320453129,0.0108196875108254,0.0679906085159221,0.0497291587408042,0.0561392150446229,0.135350051505079,0.13823067280283,0.0403191043737727,0.101500001641812,0.0677762366280098,0.00966088411841879,0.0153384997651498
"digeste",-0.00540718764639665,-0.00949399277807913,0.00400186503876623,0.0932221844449632,0.0949452654575823,-0.0105455335772318,0.0436178894577618,0.19415503809352,0.0355616934979671,0.079449036426331,0.0959917428600551,1,0.0470686661677041,0.0285687947309901,0.0435334759606467,0.0181638809758972,0.0555287678961033,0.0864992181997945,0.0729068625059469,0.0653322701932943,0.058368716524231,0.0466563226638058,0.0450070387739912,0.0536838012298414,0.0176941961576469,0.0515634486927808,0.0917911914748974,0.133464009584583,0.113190659871334,0.117723931246868,0.0583644228657521,0.0559801086931055,0.00790659794660609,0.0978912594642347,0.0757575824675919,0.0865492034201162,0.204878521299597,0.214843784218397,0.0740779505622931,0.156146758454847,0.121774380346916,0.00354738349186234,-0.00153638617924989
"asthmae",0.0196993859468459,0.0215856853427796,-0.00144507986143066,0.336842036292477,0.0789076139373405,0.0161808269928862,0.0287869197345448,0.0580614256065206,0.0277454002815862,0.0240203584674592,0.0447408901152482,0.0470686661677041,1,0.0334088211682738,0.0618380625715522,0.0300721613680616,0.0599135448650483,0.0663215697645644,0.0538358042713573,0.0686554232062064,0.0394017999908997,0.0576439226302561,0.0671651184038267,0.0728048866547577,0.0378624252752706,0.0980671364689698,0.105517940708127,0.1257815814147,0.0696488404030571,0.0697956421841473,0.0482925269282469,0.0688844473055564,0.0461137437980323,0.0733151393009176,0.0468250279192107,0.084174401570914,0.114225260460163,0.0898380181828022,0.0514038302703701,0.0742526662273004,0.0461139627541029,0.0424703551054353,0.0140243539134453
"dressa",0.0906784733360278,0.0529606741625905,0.00167224025927976,0.0535545574167501,0.064083657214719,0.147825381304642,0.07907982365498,0.0990373963473386,0.0249074723821251,0.0232326300426945,0.0413214964919217,0.0285687947309901,0.0334088211682738,1,0.645382575512383,0.50032167592383,0.482465359645997,0.427196086383339,0.309489422452027,0.315140011488869,0.304802342788619,0.403139687792011,0.462041249610125,0.459044092388664,0.206414289469602,0.32763137092967,0.187950941178986,0.237789901447376,0.275741297446803,0.283499304583035,0.363506891260398,0.370770770895694,0.347647966209483,0.125887076032437,0.0787338252667348,0.105490045210064,0.193898966714873,0.156044578800492,0.0903578548105839,0.122780844810922,0.098391064400297,0.0394593736699736,0.0134268909725214
"batha",0.109853149552982,0.0621920905744917,0.0131551607106858,0.077209420809901,0.0885421571275477,0.175118290188718,0.0720231798595841,0.103268177863573,0.0448808422374469,0.0245116527556196,0.0399014902445398,0.0435334759606467,0.0618380625715522,0.645382575512383,1,0.512421271061981,0.513936299786667,0.490803483286412,0.337240953328823,0.36362774376657,0.327833120881748,0.456833603661422,0.541785564068197,0.556358729454629,0.209685037304999,0.386793301754363,0.218804302704777,0.286043781576044,0.318481144702216,0.326123625064208,0.390902059904187,0.42286239367013,0.347890887985291,0.139036177749878,0.0803775814862968,0.121424360102786,0.214958575018027,0.158423189349573,0.112742487982584,0.111562063636244,0.112076262105923,0.0424361296576193,0.0284813788561969
"eata",0.0700141297742083,0.0280311761760652,0.00844013132201782,0.0251500918296802,0.0384479140659398,0.155677882860643,0.0746926036030379,0.0469817400608746,0.0140318357565344,0.0130392883428938,0.0245942647226729,0.0181638809758972,0.0300721613680616,0.50032167592383,0.512421271061981,1,0.468642831041087,0.36508306734042,0.337939852450896,0.300207222762662,0.316625029618496,0.38233406777114,0.449382854253648,0.432960680179877,0.190037771457326,0.282526701885105,0.142479141112092,0.18010726243258,0.214324115065547,0.212991837690347,0.307460037328822,0.330778735770161,0.399682732202675,0.0993769829867879,0.0714262204280603,0.0882059171494467,0.155888336406065,0.101434017319458,0.0658803889285645,0.0839328211573978,0.0727599745208835,0.0344980309219945,9.26015933262651e-06
"beda",0.0736757196865943,0.031358908186694,0.00745083003913276,0.0542277868314994,0.0726452743555659,0.130592997057958,0.0744073798817455,0.11928122238708,0.01324950611069,0.0337986146285318,0.0529617226596064,0.0555287678961033,0.0599135448650483,0.482465359645997,0.513936299786667,0.468642831041087,1,0.542965110852069,0.32464239823649,0.322475141350824,0.293686081106869,0.42186841682013,0.458760196438085,0.488624301198883,0.190634512141019,0.361551423510242,0.196203618542638,0.263640740105792,0.322844789794665,0.315916373434477,0.317481161502218,0.378670590343566,0.322319065781723,0.132848034272457,0.094013816399305,0.117766743006557,0.205489342695835,0.182663902448805,0.108624755675883,0.129105210477774,0.126542134457979,0.0377785427919183,0.0117192326683918
"toilta",0.102680438243525,0.0554473027784709,0.0234620870090545,0.0753987795554168,0.100427570863955,0.137952339285104,0.0565747410709569,0.191669709607999,0.0420971205275513,0.0538096170893008,0.0835625760720462,0.0864992181997945,0.0663215697645644,0.427196086383339,0.490803483286412,0.36508306734042,0.542965110852069,1,0.349278898613677,0.326352489957924,0.270760950666083,0.395307465541454,0.438745497144428,0.471168152384953,0.184646210251743,0.39405124136702,0.264860267152611,0.350310989167532,0.409247997998712,0.448435111069914,0.317604082297372,0.374987454594997,0.283040450229573,0.184735401944172,0.121289969682364,0.158034771862369,0.252746333994824,0.247849311551157,0.142307514694499,0.190252218074646,0.145983623774087,0.0479809908434155,0.0111272941597321
"urina",0.0543294285823424,0.0449040072487394,0.0174534791548904,0.060108652441292,0.0643881321509579,0.1083387544451,0.0890946657952893,0.0775743414805425,0.0223199848506325,0.0312403222980277,0.0641302863160869,0.0729068625059469,0.0538358042713573,0.309489422452027,0.337240953328823,0.337939852450896,0.32464239823649,0.349278898613677,1,0.245631059307597,0.261775380501762,0.276936171041811,0.301760221201165,0.320344235822359,0.075335525984745,0.218630102714916,0.160545772739138,0.202977304667056,0.225822223047401,0.214299107403168,0.228050548690319,0.248144672298287,0.25757287274028,0.110712629368479,0.0756322062684281,0.114468600717305,0.171043675488656,0.126451663420072,0.101018564806718,0.118019587122346,0.0966824208517463,0.0275764786172245,0.00272821726655676
"moneya",0.09017327379191,0.0402466939231425,0.012145033863714,0.0604306805588438,0.0915298662446727,0.119569953656809,0.124517519269857,0.0878623355337937,0.0225377695771246,0.0300108098202934,0.026216590291737,0.0653322701932943,0.0686554232062064,0.315140011488869,0.36362774376657,0.300207222762662,0.322475141350824,0.326352489957924,0.245631059307597,1,0.414324371264136,0.582560991332234,0.414417160786398,0.409923990784326,0.14152316360434,0.316935607107476,0.225679853322744,0.272782282099945,0.265418501526975,0.26708897027509,0.253864033578053,0.326307571371647,0.281458793846354,0.186669604986935,0.123214786637588,0.169183796261925,0.226099561330527,0.174466249130622,0.112374927638782,0.125162142162257,0.212123693663039,0.0431032100232129,0.019640401668501
